time,open,high,low,close
2025-10-15 22:23:00+00:00,1.1648,1.1648,1.16477,1.16478
2025-10-15 22:24:00+00:00,1.16478,1.16478,1.16476,1.16478
2025-10-15 22:25:00+00:00,1.16478,1.16478,1.16476,1.16477
2025-10-15 22:26:00+00:00,1.16476,1.16479,1.16476,1.16479
2025-10-15 22:27:00+00:00,1.1648,1.1648,1.16478,1.16478
2025-10-15 22:28:00+00:00,1.16478,1.16478,1.16477,1.16478
2025-10-15 22:29:00+00:00,1.16478,1.16478,1.16477,1.16478
2025-10-15 22:30:00+00:00,1.16478,1.16478,1.16472,1.16473
2025-10-15 22:31:00+00:00,1.16472,1.1648,1.16472,1.1648
2025-10-15 22:32:00+00:00,1.1648,1.16483,1.16478,1.1648
2025-10-15 22:33:00+00:00,1.1648,1.16484,1.1648,1.16483
2025-10-15 22:34:00+00:00,1.16482,1.16482,1.16476,1.16476
2025-10-15 22:35:00+00:00,1.16476,1.16484,1.16475,1.16484
2025-10-15 22:36:00+00:00,1.16484,1.16484,1.16482,1.16484
2025-10-15 22:37:00+00:00,1.16484,1.16488,1.16482,1.16486
2025-10-15 22:38:00+00:00,1.16487,1.1649,1.16486,1.16488
2025-10-15 22:39:00+00:00,1.16488,1.16491,1.16487,1.16488
2025-10-15 22:40:00+00:00,1.16487,1.1649,1.16487,1.16489
2025-10-15 22:41:00+00:00,1.16488,1.16488,1.16488,1.16488
2025-10-15 22:42:00+00:00,1.16488,1.1649,1.16486,1.16488
2025-10-15 22:44:00+00:00,1.16488,1.165,1.16488,1.16499
2025-10-15 22:45:00+00:00,1.165,1.165,1.16496,1.16496
2025-10-15 22:46:00+00:00,1.16496,1.165,1.16496,1.16498
2025-10-15 22:47:00+00:00,1.165,1.1652,1.165,1.16508
2025-10-15 22:48:00+00:00,1.16508,1.1651,1.16502,1.16502
2025-10-15 22:49:00+00:00,1.16504,1.16506,1.16502,1.16505
2025-10-15 22:50:00+00:00,1.16506,1.16506,1.1648,1.16485
2025-10-15 22:51:00+00:00,1.16484,1.16492,1.16481,1.16488
2025-10-15 22:52:00+00:00,1.16492,1.16502,1.16492,1.16497
2025-10-15 22:53:00+00:00,1.16496,1.16496,1.1649,1.16491
2025-10-15 22:54:00+00:00,1.16488,1.16496,1.16487,1.16493
2025-10-15 22:55:00+00:00,1.16492,1.16493,1.16484,1.16485
2025-10-15 22:56:00+00:00,1.16482,1.16482,1.16476,1.16478
2025-10-15 22:57:00+00:00,1.16478,1.1648,1.16472,1.16474
2025-10-15 22:58:00+00:00,1.16473,1.16476,1.16466,1.16466
2025-10-15 22:59:00+00:00,1.16467,1.16467,1.16462,1.16466
2025-10-15 23:00:00+00:00,1.16467,1.16474,1.16466,1.16472
2025-10-15 23:01:00+00:00,1.1647,1.16472,1.16464,1.16466
2025-10-15 23:02:00+00:00,1.16466,1.16466,1.16456,1.16456
2025-10-15 23:03:00+00:00,1.16456,1.16465,1.16456,1.16464
2025-10-15 23:04:00+00:00,1.16464,1.16464,1.16463,1.16464
2025-10-15 23:05:00+00:00,1.16464,1.16464,1.16456,1.16461
2025-10-15 23:06:00+00:00,1.16462,1.16464,1.1646,1.16464
2025-10-15 23:07:00+00:00,1.16464,1.16464,1.1646,1.16461
2025-10-15 23:08:00+00:00,1.1646,1.16464,1.1646,1.16464
2025-10-15 23:09:00+00:00,1.16464,1.1647,1.16464,1.1647
2025-10-15 23:10:00+00:00,1.16468,1.16468,1.1646,1.16462
2025-10-15 23:11:00+00:00,1.1646,1.16466,1.1646,1.16464
2025-10-15 23:12:00+00:00,1.16464,1.16468,1.16464,1.16466
